Date,Open,High,Low,Close,Adj_Close,Volume,Stock,Daily_Return,MA30
2015-03-15,281.42,286.53,281.0,286.39,286.39,11970100, AAPL ,1.7660436358467664,261.53333333333336
2015-03-16,285.68,294.11,285.68,290.59,290.59,21516100, AAPL ,1.7187062447493586,262.64233333333334
2015-03-17,290.6,292.36,284.37,285.51,285.51,21497200, AAPL ,-1.7515485203028325,264.332
2015-03-18,285.07,285.34,249.87,256.3,256.3,57008000, AAPL ,-10.092258041884444,265.0806666666667
2015-03-19,255.88,264.24,248.64,260.93,260.93,52732000, AAPL ,1.9735813662654416,265.658
2015-03-20,260.96,264.85,259.16,261.75,261.75,18456700, AAPL ,0.3027283874923438,266.50533333333334
2015-03-21,261.64,262.2,255.65,260.02,260.02,17130100, AAPL ,-0.6191713805228576,267.1633333333333
2015-03-22,259.92,269.75,259.59,267.96,267.96,18438100, AAPL ,3.0932594644505857,267.96933333333334
2015-03-23,267.89,277.3,261.74,266.74,266.74,22811900, AAPL ,-0.42928067490386995,268.7096666666667
2015-03-24,266.58,267.0,244.15,245.6,245.6,40073700, AAPL ,-7.870057768774849,269.0303333333333
2015-03-25,247.47,249.19,236.51,246.2,246.2,35866900, AAPL ,-0.5131935184062756,269.274
2015-03-26,246.28,254.35,244.9,248.53,248.53,25730000, AAPL ,0.9135942829299983,269.60033333333337
2015-03-27,248.57,256.81,245.21,247.03,247.03,17274900, AAPL ,-0.6195437904815513,269.919
2015-03-28,246.98,254.21,246.98,252.8,252.8,16040900, AAPL ,2.356466110616253,270.46466666666663
2015-03-29,252.74,253.14,240.85,242.71,242.71,21699400, AAPL ,-3.9685051831922133,270.094
2015-03-30,242.88,249.24,239.21,247.53,247.53,23009600, AAPL ,1.9145256916996072,269.86966666666666
2015-03-31,247.45,248.73,242.74,244.22,244.22,22672000, AAPL ,-1.3053142048898727,269.337
2015-04-01,244.22,247.54,241.16,247.27,247.27,22877200, AAPL ,1.2488739660961474,268.39033333333333
2015-04-02,247.09,254.46,245.42,253.01,253.01,26272600, AAPL ,2.3958881379254473,267.43399999999997
2015-04-03,253.07,256.04,251.88,254.32,254.32,23146600, AAPL ,0.493934484529972,266.80833333333334
2015-04-04,254.29,255.26,251.1,253.7,253.7,12493500, AAPL ,-0.23201856148492012,266.05899999999997
2015-04-05,253.76,260.67,251.94,260.6,260.6,19649200, AAPL ,2.695460277427503,265.65500000000003
2015-04-06,260.72,261.8,254.57,255.49,255.49,20034200, AAPL ,-2.00598343050016,264.9626666666667
2015-04-07,255.27,255.8,252.21,253.18,253.18,18467400, AAPL ,-0.8187409409644704,264.257
2015-04-08,253.06,253.85,244.21,245.02,245.02,30086400, AAPL ,-3.1771121473168384,262.77066666666667
2015-04-09,244.75,246.12,239.4,243.68,243.68,21643500, AAPL ,-0.43718079673135574,261.168
2015-04-10,243.69,243.69,232.77,236.07,236.07,28882000, AAPL ,-3.126923550412411,259.15766666666667
2015-04-11,236.02,239.54,234.18,236.55,236.55,16365200, AAPL ,0.22455724091178764,257.231
2015-04-12,236.54,237.73,233.49,236.15,236.15,12387900, AAPL ,-0.16487697640990379,255.59133333333332
2015-04-13,235.95,236.93,222.0,224.59,224.59,31181800, AAPL ,-4.8145793600339,253.68133333333333
2015-04-14,224.76,224.98,216.32,219.16,219.16,31719000, AAPL ,-2.491546538529985,251.44033333333334
2015-04-15,219.07,223.83,218.65,223.83,223.83,22562000, AAPL ,2.172821472588679,249.215
2015-04-16,223.92,229.67,223.92,228.57,228.57,24805400, AAPL ,2.076634512325833,247.317
2015-04-17,228.57,228.91,221.94,222.88,222.88,20429800, AAPL ,-2.489390558690991,246.203
2015-04-18,222.85,224.32,220.88,223.36,223.36,12939000, AAPL ,0.2288534888938835,244.95066666666668
2015-04-19,223.46,226.35,222.37,222.6,222.6,15021500, AAPL ,-0.38485635012978325,243.6456666666667
2015-04-20,222.61,226.35,221.98,224.63,224.63,18364700, AAPL ,0.9074165581060967,242.46599999999998
2015-04-21,224.62,235.27,224.3,235.27,235.27,24978000, AAPL ,4.741340931350728,241.37633333333332
2015-04-22,235.6,237.91,233.48,234.18,234.18,23847900, AAPL ,-0.6027164685908266,240.29100000000003
2015-04-23,234.05,236.48,233.2,236.46,236.46,17036000, AAPL ,1.0296945097201438,239.98633333333333
2015-04-24,235.97,236.3,229.93,231.27,231.27,21448700, AAPL ,-1.9917786159257485,239.48866666666666
2015-04-25,231.24,232.56,226.34,226.39,226.39,13957200, AAPL ,-2.097387995156557,238.7506666666667
2015-04-26,226.41,226.94,214.87,219.43,219.43,28943700, AAPL ,-3.082902698644048,237.83066666666667
2015-04-27,219.43,233.3,218.02,229.29,229.29,38574000, AAPL ,4.493460329034309,237.047
2015-04-28,228.97,229.49,223.07,225.85,225.85,21469200, AAPL ,-1.3626239245316,236.485
2015-04-29,225.59,227.04,223.43,225.81,225.81,18936500, AAPL ,0.09752205328250316,235.76100000000002
2015-04-30,225.69,239.56,224.99,236.15,236.15,33818600, AAPL ,4.634675882848159,235.49200000000002
2015-05-01,235.94,238.97,232.08,232.08,232.08,18815300, AAPL ,-1.636009154869876,234.98566666666665
2015-05-02,232.34,235.73,232.34,234.93,234.93,12535500, AAPL ,1.1147456314022568,234.383
2015-05-03,234.88,243.24,234.08,240.36,240.36,18494100, AAPL ,2.3331062670299807,233.91766666666666
2015-05-04,240.36,242.64,237.81,239.02,239.02,21223400, AAPL ,-0.5574970877017821,233.42833333333334
2015-05-05,238.85,239.2,232.05,236.12,236.12,23929100, AAPL ,-1.142976763659196,232.61233333333334
2015-05-06,236.25,236.45,229.23,229.78,229.78,29587200, AAPL ,-2.738624338624338,231.75533333333334
2015-05-07,229.66,239.1,228.57,237.33,237.33,29064400, AAPL ,3.3397195854741866,231.22699999999998
2015-05-08,237.2,246.27,236.27,243.86,243.86,27445500, AAPL ,2.807757166947734,231.18833333333336
2015-05-09,243.77,247.8,239.64,241.83,241.83,19790500, AAPL ,-0.7958321368503088,231.12666666666667
2015-05-10,241.73,244.07,238.85,240.3,240.3,15019100, AAPL ,-0.591569106027377,231.26766666666668
2015-05-11,240.3,244.27,239.38,242.16,242.16,20892300, AAPL ,0.7740324594257116,231.45466666666667
2015-05-12,242.15,242.88,240.1,241.11,241.11,19282600, AAPL ,-0.42948585587445465,231.62
2015-05-13,241.4,243.7,235.04,236.38,236.38,27180100, AAPL ,-2.079536039768024,232.013
2015-05-14,236.21,237.8,234.06,236.93,236.93,24413700, AAPL ,0.30481351339909357,232.60533333333336
2015-05-15,236.96,238.75,236.79,237.6,237.6,16329400, AAPL ,0.27008777852801585,233.06433333333334
2015-05-16,237.64,237.7,235.29,236.15,236.15,11089700, AAPL ,-0.6269988217471725,233.317
2015-05-17,236.01,238.02,236.01,236.8,236.8,11134300, AAPL ,0.3347315791703828,233.78099999999998
2015-05-18,236.89,237.21,232.46,233.13,233.13,16780300, AAPL ,-1.5872345814513027,234.10666666666665
2015-05-19,233.04,234.15,231.82,231.95,231.95,14241900, AAPL ,-0.46773086165465305,234.41833333333332
2015-05-20,231.89,234.68,231.84,234.02,234.02,15499400, AAPL ,0.9185389624390978,234.73133333333334
2015-05-21,234.02,236.24,233.84,235.34,235.34,15108900, AAPL ,0.5640543543286869,234.73366666666666
2015-05-22,235.32,240.97,235.06,240.35,240.35,27003000, AAPL ,2.1375148733639304,234.9393333333333
2015-05-23,240.29,241.02,238.69,238.87,238.87,14605000, AAPL ,-0.5909525989429388,235.01966666666667
